Title,Author,Location,Highlight
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,92,"You only think you know, as a matter of fact. And most of your actions are based on incomplete knowledge and you really don’t know what it is all about, or what the purpose of the world is, or know a great deal of other things. It is possible to live and not know. » Richard Feynman1"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,103,"In life and business, the person with the fewest blind spots wins. Removing blind spots means we see, interact with, and move closer to understanding reality."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,111,“I don’t want to be a great problem solver. I want to avoid problems—prevent them from happening and doing it right from the beginning.”
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,114,We must understand how the world works and adjust our behavior accordingly.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,117,"Mental models describe the way the world works. They shape how we think, how we understand, and how we form beliefs."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,120,"A mental model is simply a representation of how something works. We cannot keep all of the details of the world in our brains, so we use models to simplify the complex into understandable and organizable chunks."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,139,"In order to see a problem for what it is, we must first break it down into its substantive parts so the interconnections can reveal themselves."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,140,This bottom-up perspective allows us to expose what we believe to be the causal relationships and how they will govern the situation both now and in the future. Being able to accurately describe the full scope of a situation is the first step to understanding it.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,160,"When understanding is separated from reality, we lose our powers. Understanding must constantly be tested against reality and updated accordingly."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,164,The only way you’ll know the extent to which you understand reality is to put your ideas and understanding into action. If you don’t test your ideas against the real world—keep contact with the earth—how can you be sure you understand?
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,172,"Our failures to update from interacting with reality spring primarily from three things: not having the right perspective or vantage point, ego-induced denial, and distance from the consequences of our decisions."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,211,"What you need is to understand the principles, so that when the details change you are still able to identify what is really going on. This is part of what makes the Great Mental Models so valuable—understanding the principles, you can easily change tactics to apply the ones you need."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,213,Most geniuses—especially those who lead others—prosper not by deconstructing intricate complexities but by exploiting unrecognized simplicities. » Andy Benoit6
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,220,Understanding only becomes useful when we adjust our behavior and actions accordingly. The Great Models are not just theory. They are actionable insights that can be used to effect positive change in your life.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,234,"Without reflection we cannot learn. Without learning we are doomed to repeat mistakes, become frustrated when the world doesn’t work the way we want it to, and wonder why we are so busy. The cycle goes on."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,268,Better models mean better thinking. The degree to which our models accurately explain reality is the degree to which they improve our thinking. Understanding reality is the name of the game.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,279,Only by repeated testing of our models against reality and being open to feedback can we update our understanding of the world and change our thinking.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,304,Removing blind spots means thinking through the problem using different lenses or models.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,322,"Charlie Munger summed up this approach to practical wisdom: “Well, the first rule is that you can’t really know anything if you just remember isolated facts and try and bang ‘em back. If the facts don’t hang together on a latticework of theory, you don’t have them in a usable form. You’ve got to have models in your head. And you’ve got to array your experience both vicarious and direct on this latticework of models. You may have noticed students who just try to remember and pound back what is remembered. Well, they fail in school and in life. You’ve got to hang experience on a latticework of models in your head.”8"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,329,latticework
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,330,demonstrates the reality and value of interconnecting knowledge.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,331,"once we learn something, we need to put it back into the complex system in which it occurs. We need to see where it connects to other bits of knowledge, to build our understanding of the whole."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,354,"Each decision presents an opportunity to comb through your repertoire and try one out, so you can also learn how to use them. This will slow you down at first, and you won’t always choose the right models, but you will get better and more efficient at using mental models as time progresses."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,371,"keep a journal. Write your experiences down. When you identify a model at work in the world, write that down too."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,376,"If a model works, we must invest the time and energy into understanding why it worked so we know when to use it again."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,376,At the beginning the process is more important than the outcome.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,377,stay open to the feedback loops. Reflect and learn. You will get better.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,387,The map appears to us more real than the land. D.H. Lawrence1
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,400,The Map is not the Territory
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,401,Primer modelo
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,401,The map of reality is not reality. Even the best maps are imperfect. That’s because they are reductions of what they represent.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,403,"A map can also be a snapshot of a point in time, representing something that no longer exists."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,405,They help us reduce complexity to simplicity.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,409,Key elements of a map
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,416,"Maps describe a territory in a useful way, but with a specific purpose. They"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,424,"The truth is, the only way we can navigate the complexity of reality is through some sort of abstraction."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,431,"We run into problems when our knowledge becomes of the map, rather than the actual underlying territory it describes."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,434,"When we close off or ignore feedback loops, we don’t see the terrain has changed and we dramatically reduce our ability to adapt to a changing environment."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,437,"The world is dynamic. As territories change, our tools to navigate them must be flexible to handle a wide variety of situations or adapt to the changing times."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,452,"When we’re following the map without looking around, we trip right over them."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,452,"we do not understand a model, map, or reduction unless we understand and respect its limitations. If we don’t understand what the map does and doesn’t tell us, it can be useless or even dangerous."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,483,«Remember that all models are wrong; the practical question is how wrong do they have to be to not be useful.» George Box5
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,507,"«Viewed in its development through time, the map details the changing thought of the human race, and few works seem to be such an excellent indicator of culture and civilization.»"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,517,"Models, then, are most useful when we consider them in the context they were created."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,533,"«In general, when building statistical models, we must not forget that the aim is to understand something about the real world. Or predict, choose an action, make a decision, summarize evidence, and so on, but always about the real world, not an abstract mathematical world: our models are not the reality. » David Hand13"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,536,Conclusion
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,538,"They are, by definition, reductions of something far more complex."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,540,"We cannot explore every bit of territory for ourselves. We can use maps to guide us, but we must not let them prevent us from discovering new territory or updating our existing maps."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,572,Circle of Competence
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,572,2o modelo mental
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,574,When you are honest about where your knowledge is lacking you know where you are vulnerable and where you can improve.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,575,Understanding your circle of competence improves decision-making and outcomes.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,595,"Having this deep knowledge gives him flexibility in responding to challenges, because he will likely have more than one solution to every problem. And this depth increases his efficiency—he can eliminate bad choices quickly because he has all the pieces of the puzzle."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,598,"if you don’t have at least a few years and a few failures under your belt, you cannot consider yourself competent in a circle."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,599,«We shall be unable to turn natural advantage to account unless we make use of local guides.» Sun Tzu2
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,626,We can anticipate and respond to objections because we’ve heard them before and already put in the work of gaining the knowledge to counter them.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,628,Our deep fluency in subjects we are dealing with means we can draw on different information resources and understand what can be adjusted and what is invariant.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,633,"There is no shortcut to understanding. Building a circle of competence takes years of experience, of making mistakes, and of actively seeking out better methods of practice and thought."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,635,How do you build and maintain a circle of competence?
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,635,One of the essential requirements of a circle of competence is that you can never take it for granted.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,637,"The world is dynamic. Knowledge gets updated, and so too must your circle."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,638,"There are three key practices needed in order to build and maintain a circle of competence: curiosity and a desire to learn, monitoring, and feedback."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,639,Learning comes when experience meets reflection.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,642,«Learn from the mistakes of others. You can’t live long enough to make them all yourself.» Anonymous
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,644,"you need to monitor your track record in areas which you have, or want to have, a circle of competence."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,644,And you need to have the courage to monitor honestly so the feedback can be used to your advantage.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,647,"We don’t keep the right records, because we don’t really want to know what we’re good and bad at. Ego is a powerful enemy when it comes to better understanding reality."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,652,Keeping a journal of your own performance is the easiest and most private way to give self-feedback.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,668,How do you operate outside a circle of competence?
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,672,There are three parts to successfully operating outside a circle of competence:
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,673,"Learn at least the basics of the realm you’re operating in, while acknowledging that you’re a Stranger, not a Lifer."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,675,"Talk to someone whose circle of competence in the area is strong. Take the time to do a bit of research to at least define questions you need to ask, and what information you need, to make a good decision."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,680,Use a broad understanding of the basic mental models of the world to augment your limited understanding of the field in which you find yourself a Stranger.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,720,Conclusion
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,720,"Critically, we must keep in mind that our circles of competence extend only so far."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,721,There are boundaries on the areas in which we develop the ability to make accurate decisions.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,724,"being able to identify your circle, and knowing how to move around outside of it, is so important."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,791,First Principles Thinking
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,791,Tercer modelo
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,792,"Sometimes called reasoning from first principles, it’s a tool to help clarify complicated problems by separating the underlying ideas or facts from any assumptions based on them. What remain are the essentials."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,800,"first principles thinking identifies the elements that are, in the context of any given situation, non-reducible."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,802,"They are the foundation on which we must build, and thus will be different in every situation, but the more we know, the more we can challenge."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,813,"If we want to identify the principles in a situation to cut through the dogma and the shared belief, there are two techniques we can use: Socratic questioning and the Five Whys."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,814,Socratic questioning
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,815,"is a disciplined questioning process, used to establish truths, reveal underlying assumptions, and separate knowledge from ignorance."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,817,Socratic questioning generally follows this process: Clarifying your thinking and explaining the origins of your ideas. (Why do I think this? What exactly do I think?) Challenging assumptions. (How do I know this is true? What if I thought the opposite?) Looking for evidence. (How can I back this up? What are the sources?) Considering alternative perspectives. (What might others think? How do I know I am correct?) Examining consequences and implications. (What if I am wrong? What are the consequences if I am?) Questioning the original questions. (Why did I think that? Was I correct? What conclusions can I draw from the reasoning process?)
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,827,repeatedly asking “why?” The goal of the Five Whys is to land on a “what” or “how”.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,829,it is about systematically delving further into a statement or concept so that you can separate reliable knowledge from assumption.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,860,Incremental innovation and paradigm shifts
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,860,"To improve something, we need to understand why it is successful or not. Otherwise, we are just copying thoughts or behaviors without understanding why they worked."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,879,The real power of first principles thinking is moving away from random change and into choices that have a real possibility of success.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,895,"«As to methods, there may be a million and then some, but principles are few. The man who grasps principles can successfully select his own methods. The man who tries methods, ignoring principles, is sure to have trouble.» Harrington Emerson8"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,898,Conclusion
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,898,Reasoning from first principles allows us to step outside of history and conventional wisdom and see what is possible.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,909,Thought Experiment
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,909,Cuarto modelo
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,910,Thought experiments can be defined as “devices of the imagination used to investigate the nature of things.”1
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,912,Thought experiments are powerful because they help us learn from our mistakes and avoid future ones.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,931,"thought experiment generally has the following steps: Ask a question Conduct background research Construct hypothesis Test with (thought) experiments Analyze outcomes and draw conclusions Compare to hypothesis and adjust accordingly (new question, etc.)"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1039,"Running through the scenario 100,000 times, how many times do you go broke and how many times do you triple your dough? This gives you some real decision-making power: It tells you about the limits of what you know and the limits of what you should attempt. It tells you, in an imprecise but useful way, a lot about how smart or stupid your decisions were regardless of the actual outcome. It makes you aware of your process, so that even if the results are good, you can recognize when this was all down to luck and that maybe you should work on your decision-making process to reduce the role of chance."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1055,Conclusion
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1056,"Thought experiments tell you about the limits of what you know and the limits of what you should attempt. In order to improve our decision-making and increase our chances of success, we must be willing to probe all of the possibilities we can think of."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1087,Second-Order Thinking
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1087,Modelo
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1087,Almost everyone can anticipate the immediate results of their actions.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1088,This type of first-order thinking is easy and safe but it’s also a way to ensure you get the same results that everyone else gets.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1089,"Second-order thinking is thinking farther ahead and thinking holistically. It requires us to not only consider our actions and their immediate consequences, but the subsequent effects of those actions as well."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1103,The genie never gets back in the bottle. You can never delete consequences to arrive at the original starting conditions.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1119,"High degrees of connections make second-order thinking all the more critical, because denser webs of relationships make it easier for actions to have far-reaching consequences."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1136,"Once a few people decide to stand on their tip-toes, everyone has to stand on their tip-toes. No one can see any better, but they’re all worse off. _ Buffett, Warren. “Letter to Shareholders, 1985.”"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1140,Let’s look at two areas where second-order thinking can be used to great benefit: Prioritizing long-term interests over immediate gains Constructing effective arguments
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1143,This is a useful model for seeing past immediate gains to identify long-term effects we want.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1145,Second-order thinking involves asking ourselves if what we are doing now is going to get us the results we want.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1172,Developing Trust for Future Success
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1173,Trust and trustworthiness are the results of multiple interactions.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1174,"Going for the immediate payoff in our interactions with people, unless they are a win-win, almost always guarantees that interaction will be a one-off."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1175,Maximizing benefits is something that happens over time.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1177,"To learn more about how we build trust in relationships see: Ostrom, Elinor and Walker, James, eds. Trust and Reciprocity: Interdisciplinary Lessons from Experimental Research. New York: Russell Sage Foundation, 2003."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1204,"Second-order thinking, as valuable as it is, must be tempered in one important way: You can’t let it lead to the paralysis of the Slippery Slope Effect, the idea that if we start with action A, everything after is a slippery slope down to hell, with a chain of consequences B, C, D, E, and F."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1218,Conclusion
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1218,We don’t make decisions in a vacuum and we can’t get something for nothing.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1219,"When making choices, considering consequences can help us avoid future problems. We must ask ourselves the critical question: And then what?"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1220,Thinking in terms of the system in which you are operating will allow you to see that your consequences have consequences.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1224,"The theory of probability is the only mathematical tool available to help map the unknown and the uncontrollable. It is fortunate that this tool, while tricky, is extraordinarily powerful and convenient. Benoit Mandelbrot1"
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1232,Probabilistic Thinking
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1232,Modelo
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1232,"Probabilistic thinking is essentially trying to estimate, using some tools of math and logic, the likelihood of any specific outcome coming to pass."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1257,"given that we have limited but useful information about the world, and are constantly encountering new information, we should probably take into account what we already know when we learn something new."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1312,“metaprobability”—the probability that your probability estimates themselves are any good.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1318,Orders of Magnitude
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1318,Nassim Taleb puts his finger in the right place when he points out our naive use of probabilities.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1319,"In The Black Swan, he argues that any small error in measuring the risk of an extreme event can mean we’re not just slightly off, but way off—off by orders of magnitude, in fact."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1321,"not just 10% wrong but ten times wrong, or 100 times wrong, or 1,000 times wrong."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1337,"“upside optionality”, that is, seeking out situations that we expect have good odds of offering us opportunities."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1338,"attending a cocktail party where a lot of people you might like to know are in attendance. While nothing is guaranteed to happen—you may not meet those people, and if you do, it may not go well—you give yourself the benefit of serendipity and randomness. The worst thing that can happen is...nothing."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1341,"learn how to fail properly. Failing properly has two major components. First, never take a risk that will do you in completely. (Never get taken out of the game completely.) Second, develop the personal resilience to learn from your failures and start again."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1344,Those who are not afraid to fail (properly) have a huge advantage over the rest. What they learn makes them less vulnerable to the volatility of the world.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1349,"Whenever possible, try to create scenarios where randomness and uncertainty are your friends, not your enemies."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1372,process of assigning weight to the various factors and coming up with a probabilistic assessment of who had a decent chance of success.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1379,"When deciding what to use, Atkins had to consider the relevancy, quality, and timeliness of the information she had."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1394,"Successfully thinking in shades of probability means roughly identifying what matters, coming up with a sense of the odds, doing a check on our assumptions, and then making a decision."
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1396,Probabilistic thinking is an extremely useful tool to evaluate how the world will most likely look so that we can effectively strategize.
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1410,Supporting Idea: Causation vs. Correlation
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1411,
The Great Mental Models General Thinking Concepts (Shane Parrish Rhiannon Beaubien) (z-lib.org),Shane Parrish,1413,We notice two things happening at the same time (correlation) and mistakenly conclude that one causes the other (causation).
